ID,methane,dl,location,proximity
881,0.34,0,Valley,Far
882,12000,0,Valley,Far
883,0.43,0,Valley,Far
884,0.19,0,Valley,Far
885,520,0,Valley,Far
886,1900,0,Valley,Far
887,0.41,0,Valley,Far
888,1.2,0,Upland,Near
889,0.22,0,Upland,Far
890,26,0,Valley,Far
891,1.6,0,Upland,Far
892,2,0,Valley,Far
893,0.1,1,Upland,Far
894,0.15,0,Valley,Far
895,0.1,1,Upland,Far
896,0.14,0,Upland,Far
897,0.1,0,Valley,Far
898,0.19,0,Upland,Far
899,0.18,0,Upland,Far
900,0.19,0,Upland,Far
901,0.1,1,Upland,Far
902,1.1,0,Valley,Far
903,0.26,0,Valley,Far
904,6500,0,Valley,Near
905,2.2,0,Valley,Far
906,0.12,0,Valley,Far
907,0.22,0,Upland,Far
908,1.2,0,Valley,Far
909,0.17,0,Upland,Far
910,0.2,0,Upland,Far
911,0.28,0,Upland,Far
912,1,0,Valley,Far
913,0.1,0,Valley,Far
914,0.38,0,Upland,Far
915,1.1,0,Upland,Far
916,0.15,0,Upland,Far
917,0.26,0,Valley,Far
918,0.35,0,Upland,Far
919,0.21,0,Upland,Far
920,0.31,0,Valley,Far
921,11000,0,Valley,Near
922,0.33,0,Valley,Far
923,0.13,0,Valley,Near
924,0.5,0,Valley,Far
925,0.93,0,Valley,Far
926,0.52,0,Valley,Far
927,0.16,0,Valley,Far
928,75,0,Upland,Far
929,0.14,0,Upland,Far
930,0.44,0,Upland,Far
931,43000,0,Valley,Near
932,0.18,0,Upland,Far
933,390,0,Valley,Far
934,0.11,0,Valley,Far
935,0.22,0,Upland,Far
936,74,0,Upland,Far
937,2.8,0,Valley,Far
938,11000,0,Valley,Far
939,2.8,0,Upland,Far
940,0.12,0,Upland,Far
941,0.1,0,Valley,Far
942,1.6,0,Upland,Far
943,1800,0,Valley,Far
944,0.11,0,Valley,Far
945,0.59,0,Upland,Near
946,1.1,0,Valley,Far
947,2.9,0,Upland,Far
948,0.32,0,Upland,Far
949,0.45,0,Valley,Far
950,0.17,0,Valley,Far
951,1.9,0,Upland,Far
952,0.16,0,Valley,Far
953,0.1,1,Upland,Far
954,0.1,0,Valley,Far
955,0.14,0,Valley,Far
956,0.1,1,Valley,Far
957,0.69,0,Upland,Far
958,0.1,0,Valley,Far
959,0.18,0,Upland,Far
960,0.68,0,Upland,Far
961,12000,0,Valley,Far
962,6.8,0,Upland,Far
963,0.25,0,Valley,Far
964,16000,0,Valley,Far
965,0.2,0,Valley,Far
